Step,画像,VAE,Pooling
256,40.34790421,44.66949463,16.69752693
512,44.73120117,43.79187393,16.78178596
768,36.12948227,38.8774147,16.72362518
1024,32.26852036,40.49588394,16.94377708
1280,29.60163116,42.21616745,17.21677971
1536,28.57938576,38.1651268,17.12481308
1792,28.58413124,36.28562546,17.75065041
2048,27.29793549,35.86842728,19.04566383
2304,27.82200432,36.68822479,20.06704521
2560,28.62872314,38.53138351,21.10990334
2816,28.43883324,39.16142654,21.41842461
3072,28.46532822,40.64386368,22.38355064
3328,28.48676682,39.74072647,22.50684547
3584,29.22977448,39.6840477,23.5379982
3840,29.63618088,40.68199539,24.25690269
4096,30.29074478,40.12413406,26.27452469
4352,31.06888008,40.10225677,26.74355316
4608,31.46977425,41.00706863,27.89271736
4864,32.20969391,40.98062515,28.49929047
5120,32.27676773,42.43833923,29.5294075
5376,32.62332153,42.25535965,30.13887978
5632,33.2300415,43.7433548,31.24727058
5888,34.11641312,43.82885361,32.73593903
6144,34.67445755,44.03868484,34.20050812
6400,35.09439468,44.58161163,35.4560318
6656,36.00498581,45.02671814,36.74516678
6912,36.47990036,45.41970825,38.03822327
7168,36.59095001,46.57093048,39.74818802
7424,36.07127762,47.73165131,41.08465958
7680,36.21541595,48.85824203,41.43371964
7936,37.04971695,49.0609169,42.05619812
8192,37.12535095,49.35624313,43.39884567
8448,36.84989929,49.93390656,44.17272949
8704,37.87666321,51.44872284,45.77941895
8960,38.4099617,53.50582886,46.51582718
9216,39.29827881,55.21212769,47.23303604
9472,39.79012299,55.75844193,47.71440125
9728,39.53476334,57.13267899,47.40155029
9984,39.74435043,57.67810059,48.1111412
10240,40.09664536,59.38140106,46.98310089
10496,40.80859756,60.90399551,46.40666199
10752,40.58618546,61.91767883,46.77582932
11008,41.01626968,64.16434479,47.60099792
11264,40.9804306,65.46899414,47.60702896
11520,40.9804306,67.26235199,48.01172256
11776,41.7927742,68.19998932,46.88824081
12032,41.77851868,70.71424103,47.34846497
12288,42.2146225,71.26131439,46.77031708
12544,42.72476196,74.03883362,46.63942719
12800,42.26698685,74.60040283,44.28353882
13056,42.97337723,76.88976288,43.17825317
13312,43.3957634,77.43004608,40.51282501
13568,43.77277374,79.67336273,38.89258575
13824,44.11172867,80.46218109,38.58179092
14080,45.25172806,81.69652557,37.86753464
14336,45.19947815,83.71343994,36.45489502
14592,45.79975891,84.7179718,36.55503464
14848,46.59929657,84.66308594,34.62706757
15104,46.46371841,86.06270599,34.44422913
15360,47.36943817,87.60305023,33.84322739
15616,48.19855881,88.60157776,33.13319016
15872,48.59259796,89.95960999,32.03443146
16128,49.39719391,90.10556793,31.02250481
16384,49.4319191,91.29385376,31.00019646
16640,50.37427902,92.24347687,31.28929901
16896,51.58604431,92.944664,30.83011818
17152,51.6932106,94.07965851,31.52702904
17408,53.24277496,95.04676056,31.59132576
17664,53.49103546,96.16378784,32.02381134
17920,54.87656784,95.9591217,32.88156891
18176,54.7024498,97.45192719,33.30049896
18432,56.2267189,98.3344574,33.90121078
18688,57.23106003,99.16921234,33.27957153
18944,58.63941956,99.97415924,33.76596069
19200,59.54683304,99.48749542,33.31768417
19456,59.7359314,99.23583984,34.40584946
19712,59.79528809,101.0487747,34.23877716
19968,59.85913467,100.3843002,34.48038101
20224,60.16681671,101.5209656,34.23831177
20480,61.24098969,100.7887878,34.58932114
20736,62.41324997,100.4739532,35.33790207
20992,63.81843567,100.1558838,34.82276535
21248,65.05748749,100.4533234,34.94590378
21504,65.040802,100.1060028,34.62413788
21760,67.00526428,101.525383,34.97190857
22016,67.7379837,100.0169601,34.01335526
22272,67.87185669,99.34315491,32.73834229
22528,67.84286499,98.92681122,32.75035095
22784,69.85339355,100.1169662,33.73131561
23040,69.41621399,99.74486542,33.00984573
23296,71.83187866,100.471283,33.76710129
23552,72.78871918,99.76196289,33.12540054
23808,73.56143188,98.83786011,33.12703323
24064,73.40114594,98.50950623,32.3373909
24320,76.09195709,96.45726013,31.48361778
24576,76.34319305,96.83625793,30.90367889
24832,78.73298645,96.61325073,30.26791763
25088,78.95449829,96.80583954,29.76320648
25344,80.68585205,97.17258453,29.82189941
25600,81.37438965,96.21826172,30.00198555
25856,81.7431488,97.62690735,30.29474831
26112,82.7817688,97.01249695,30.03873634
26368,82.30130005,95.64084625,30.26076698
26624,83.76208496,93.3004837,29.40688896
26880,84.18480682,92.93175507,29.61470413
27136,84.67821503,94.53356934,29.22516632
27392,85.55218506,94.12639618,29.61311531
27648,85.20980835,93.98564911,29.73658371
27904,83.80758667,94.1547699,30.82335472
28160,84.00015259,92.52681732,31.44682312
28416,85.40215302,91.90764618,32.30615997
28672,83.89755249,90.39964294,32.70185471
28928,83.60984802,89.90608215,32.47079849
29184,84.95845795,90.84640503,31.73889351
29440,85.38640594,90.94707489,32.43710709
29696,84.4740448,90.04373169,32.25867081
29952,83.88417816,89.07228088,33.01804733
30208,83.79324341,88.11473846,33.86894226
30464,83.37463379,88.8311615,33.85565186
30720,84.20536804,88.33598328,33.88676453
30976,84.59659576,88.43289948,34.93240738
31232,84.10002136,87.10408783,35.31850052
31488,86.42346954,88.472229,35.42420959
31744,87.04077911,86.37104797,35.73937607
32000,86.63824463,85.294487,36.2216835
32256,86.87950134,85.15441132,36.51211929
32512,87.42732239,87.37886047,35.85348129
32768,89.10955811,87.06905365,36.47635651
33024,88.72960663,86.27955627,36.87851334
33280,89.24747467,85.98269653,37.85602951
33536,89.61890411,84.82417297,37.73448944
33792,87.0870285,86.50034332,37.80816269
34048,85.42514038,85.34011078,37.21795273
34304,84.5749588,86.15592957,37.53976059
34560,84.10968018,86.58388519,37.82850266
34816,85.62111664,88.26147461,38.19493866
35072,84.91982269,88.72837067,37.07297897
35328,87.20071411,89.50812531,36.81359482
35584,86.03668976,88.98636627,36.61125183
35840,86.56129456,89.10929108,36.46797943
36096,89.26173401,90.62818909,36.49800873
36352,89.25588226,90.6186142,36.04211426
36608,91.63799286,90.48576355,36.14493179
36864,93.15034485,92.52043915,35.89607239
37120,95.06668854,93.93621826,34.13797379
37376,95.43026733,94.58851624,33.97409058
37632,95.32097626,95.83518982,33.97714615
37888,95.49617004,96.39743042,34.72915649
38144,95.3212738,98.25243378,35.58522034
38400,97.02462006,97.8758316,35.75687027
38656,97.09265137,97.76381683,35.26833344
38912,97.56970215,98.98258972,34.49295807
39168,98.02942657,99.96440887,34.32793808
39424,99.27772522,100.9384003,35.14889145
39680,99.54543304,102.0852814,35.00321198
39936,100.5097961,103.3890991,35.82160568
40192,101.0634613,104.0312958,35.55715942
40448,102.3452759,105.9989166,35.73580551
40704,103.688652,106.4367828,35.81248093
40960,104.2651978,107.91716,35.61607742
41216,103.3708267,108.1000519,34.15596771
41472,101.9494705,107.5941925,33.64176559
41728,100.5742188,108.1896515,33.65036392
41984,99.8568573,108.9799042,33.78771591
42240,97.01824951,107.5771255,34.88091278
42496,96.66587067,108.5892181,35.1829567
42752,94.74710083,110.7295303,35.19123459
43008,96.20942688,110.9755173,36.5244751
43264,99.842453,112.5344696,36.1559639
43520,101.2059326,113.5812988,36.44599915
43776,104.474617,113.8021622,36.8047905
44032,105.2098923,114.4093781,36.06603241
44288,107.7318192,113.9873276,36.45920944
44544,109.5941238,114.5484848,36.3219223
44800,109.210968,116.0675812,36.29057312
45056,108.1030655,116.0675812,37.72806549
45312,108.0618896,118.7776947,38.67458344
45568,108.1938171,119.2785645,38.87892151
45824,109.1799011,120.4631729,38.61301041
46080,104.2367935,121.3743362,39.15236282
46336,104.4095764,122.7734985,37.63823318
46592,102.0044861,121.9543228,37.3715477
46848,99.4446106,123.9910431,36.49175262
47104,97.67331696,124.4591141,36.92793655
47360,95.38968658,124.5155945,38.13555145
47616,94.42877197,125.6413651,38.9598465
47872,93.73793793,125.917038,39.67383575
48128,93.2824707,126.9134445,40.67883301
48384,91.06925201,128.1457825,40.77903748
48640,92.76441193,126.9677353,40.06383896
48896,91.50662994,127.4632721,40.38136292
49152,90.49184418,127.6026611,40.94638824
49408,92.75569916,127.1844025,41.10393143
49664,94.77765656,128.190567,42.269207
49920,94.93115234,128.190567,43.4461174
50176,95.52994537,129.8615417,43.57403946
50432,98.62876892,129.6956787,44.41448593
50688,100.2123489,130.6277161,45.76619339
50944,102.478035,131.1288605,46.85682678
51200,104.3968277,131.2445831,46.12286377
51456,106.1131744,129.8246918,44.73558426
51712,108.8609238,129.7917023,43.96913528
51968,110.2627029,130.1143036,43.15855789
52224,110.1768188,130.0929718,43.10786438
52480,108.8791046,129.9318695,43.39999771
52736,108.9000702,129.6250763,41.22888947
52992,108.1913605,128.9989014,39.18575287
53248,109.0958099,128.5939484,38.71699524
53504,110.5923309,131.692688,37.4776535
53760,109.8173447,131.7231445,36.86852264
54016,112.1135635,132.1959686,36.51673508
54272,111.1418076,132.3927155,37.21042252
54528,109.9575195,131.6955872,37.27735138
54784,111.2742615,131.732666,38.32487869
55040,113.2577515,131.1226654,38.7404213
55296,110.8512421,132.2918701,39.29672241
55552,111.2312927,130.8237762,39.68341064
55808,109.8763733,131.9821625,40.40391159
56064,111.5165787,132.6179962,41.11433792
56320,110.9496689,132.124649,42.43055344
56576,109.1522217,132.1171722,43.70757294
56832,103.8643799,131.0520477,44.18663025
57088,99.918396,130.760376,44.26102448
57344,98.14598846,129.0881958,45.16764832
57600,92.55686951,129.7784729,43.58899307
57856,89.97570801,129.5758514,43.51183319
58112,87.96498871,131.3676453,42.32286072
58368,85.10102081,131.6191406,42.85044861
58624,81.58094788,131.4794922,42.99721527
58880,79.54763794,130.5526886,42.39093018
59136,80.40433502,131.7799683,42.073452
59392,80.16222382,131.8808594,41.6932106
59648,79.67604065,133.412262,40.81642914
59904,77.06676483,133.4712219,39.63970566
60160,74.88091278,133.7527161,39.08541489
60416,72.24462128,132.9103699,38.19992065
60672,71.95034027,131.546936,39.86723328
60928,71.81947327,131.5492859,38.19395065
61184,70.48867798,131.088028,39.47932816
61440,68.01679993,131.045517,41.05146027
61696,70.00059509,130.9004822,42.2413063
61952,69.52877808,128.4314423,42.75780869
62208,70.60469055,127.9541702,43.04507446
62464,69.36843872,126.5311279,41.98947144
62720,71.14083099,126.2338791,41.57968521
62976,70.724823,126.6652222,41.08609772
63232,70.5014801,125.152565,43.34589767
63488,72.5098114,122.6107635,43.85095596
63744,73.66309357,122.7052917,45.00741959
64000,73.94150543,121.725029,45.44037628
64256,73.93701935,122.3669128,45.60329437
64512,75.48995209,121.2760315,46.04833221
64768,75.75627136,121.2227097,45.315979
65024,77.04742432,119.8192368,45.89728546
65280,76.37969208,119.7629166,45.93873978
65536,76.25161743,119.2579575,46.45381165
65792,77.74776459,117.527298,45.77686691
66048,74.20289612,118.6386108,46.19194031
66304,71.97566986,118.550293,46.45629501
66560,70.66611481,118.7591629,47.73660278
66816,69.3221283,118.4184418,48.51451492
67072,69.21918488,118.8986893,49.82006836
67328,67.09777069,119.5475311,50.47533417
67584,67.39218903,115.9956512,49.20555496
67840,66.73441315,116.7926483,49.35813141
68096,67.32270813,116.804512,49.93476486
68352,66.09229279,116.7982941,50.93129349
68608,66.18612671,117.3034592,52.13544846
68864,66.33515167,114.8977737,51.82808304
69120,66.90605164,115.455513,52.26882553
69376,66.85015869,113.0398178,51.77739716
69632,67.77049255,113.1876373,52.07338715
69888,70.18963623,112.9080658,52.52814865
70144,72.60345459,112.54673,52.69939041
70400,74.99634552,109.9411774,52.35018539
70656,73.29766083,110.699234,52.38363647
70912,73.97058105,109.639801,52.25353241
71168,74.84563446,111.3035583,51.94440842
71424,73.10378265,111.1442108,52.66099548
71680,72.92971802,107.4838104,52.7758255
71936,74.38191223,107.0339661,53.48398209
72192,74.32493591,106.9507828,53.75671005
72448,75.11933136,105.7915421,53.36516571
72704,74.7345047,106.5531311,52.83957672
72960,75.9041748,107.1303406,51.56581116
73216,76.62789154,107.3706055,50.76076889
73472,76.49952698,105.0060196,51.08311844
73728,76.24494934,105.3379517,50.41399765
73984,77.75896454,104.5485916,48.97528458
74240,79.45029449,106.035965,48.89992905
74496,80.03523254,107.056076,46.73060226
74752,80.45076752,106.8941422,46.9240799
75008,81.33966064,107.2002945,46.15265656
75264,82.93167114,107.1521301,45.20967102
75520,82.77837372,107.7200623,43.70558548
75776,83.35690308,105.5633621,43.23980713
76032,83.85803986,105.0312119,41.84184265
76288,81.97694397,106.3936005,40.95851135
76544,83.37467957,105.9729614,41.64684296
76800,83.60557556,107.4677353,41.27281952
77056,83.62974548,107.3340225,40.55711746
77312,83.02903748,108.9286194,41.09651566
77568,82.90836334,108.1430206,40.48303223
77824,84.2269516,108.6462402,41.24289322
78080,83.46025085,108.0279694,42.00775909
78336,84.27828979,108.4934692,42.30940247
78592,86.34434509,109.406395,41.40552521
78848,85.12728882,109.8283615,41.14986038
79104,84.36997986,110.5452347,40.09017563
79360,84.13354492,110.8562927,39.53797913
79616,85.13819122,111.7791138,39.91378784
79872,85.45336151,111.8496399,40.89690781
80128,84.68841553,112.3125992,41.59273911
80384,84.4930191,113.0488358,40.88589859
80640,85.47740173,113.845993,41.16334534
80896,87.17498016,115.1924362,40.69456482
81152,88.30261993,115.636734,41.04318237
81408,87.95016479,116.7140045,41.49063873
81664,87.18695068,117.0534821,41.80471802
81920,87.91016388,118.9036179,41.1457901
82176,87.31915283,118.4054489,40.9565239
82432,87.12724304,119.7935944,41.89902496
82688,86.59884644,120.5396957,41.76088715
82944,87.47769928,121.9828186,40.39404297
83200,85.98571777,121.9670792,42.11712265
83456,86.23501587,122.0685577,41.90323639
83712,85.81403351,120.1747894,42.09443665
83968,86.73104095,120.9376678,42.9048996
84224,87.08998108,121.0962753,43.63254547
84480,85.82235718,122.5849991,44.68995285
84736,86.75028992,124.6279297,44.97498703
84992,88.90190125,124.3855362,45.01166916
85248,88.96335602,124.8549957,44.66899872
85504,88.61837769,126.1884384,46.2287178
85760,89.47480011,127.5434799,45.85274887
86016,88.85048676,126.1250305,45.84112549
86272,88.35523224,125.1788025,46.14857101
86528,89.70046234,125.848732,45.47172928
86784,89.03048706,125.0786209,43.39810562
87040,89.77616882,124.2276154,42.98360825
87296,90.57307434,124.3910294,43.12183762
87552,89.65133667,123.9264984,41.85578537
87808,91.42230988,122.1689301,41.97612762
88064,92.15786743,121.2567825,40.88551712
88320,91.83570099,120.0096359,39.75836945
88576,93.96112823,118.8820419,38.98306274
88832,94.65825653,119.0619049,37.80727386
89088,97.12011719,119.8934631,37.91250229
89344,96.7725296,117.3313217,36.48171997
89600,99.30666351,117.1120453,35.89327621
89856,100.3109055,116.4120483,34.7841568
90112,99.7086792,115.9141998,35.70835114
90368,101.3669586,116.0308228,37.68583298
90624,102.1147614,115.2421112,38.74513245
90880,100.8671799,114.8490829,37.57496643
91136,100.111557,115.221962,37.07181931
91392,100.0293655,114.5039291,36.98112488
91648,99.87284851,111.3193588,37.91242218
91904,100.9440002,109.5663147,38.82924271
92160,101.7136383,107.815361,39.62859344
92416,103.7249222,107.8188858,38.43550491
92672,103.243927,108.6873093,36.94451523
92928,103.9089203,105.944191,37.12273788
93184,106.7343903,104.0350647,36.99894714
93440,107.4425583,104.4038162,37.23097992
93696,107.062851,105.0502319,37.29831696
93952,108.0297318,103.208786,37.41429901
94208,107.6397476,102.4744797,36.65984344
94464,106.7826309,101.9860916,36.24435806
94720,105.2278137,100.1022797,35.78950119
94976,103.633522,100.2666626,36.71720886
95232,103.6065445,101.759758,35.52816391
95488,102.6088943,101.5682755,34.55678177
95744,100.556366,97.93076324,34.60731506
96000,99.54750824,98.50476837,35.34448242
96256,99.28583527,95.58934784,36.35655212
96512,98.01954651,94.85109711,36.25478363
96768,96.74624634,94.77787781,36.12818146
97024,94.8653717,94.12708282,36.88934708
97280,91.6925354,91.80796814,37.3567543
97536,87.58143616,90.94245148,36.21636581
97792,87.32431793,90.68135834,36.77033234
98048,86.45766449,89.90142822,37.96023941
98304,86.02696991,90.66947174,39.43612671
98560,86.93243408,90.46797943,39.50382233
98816,86.65018463,89.12827301,39.1517601
99072,85.6667099,89.43479919,39.88337326
99328,85.98577118,88.64376831,40.75152206
99584,86.77571869,87.83479309,40.57095337
99840,88.18481445,88.32836914,40.57909775
100096,88.16981506,86.98339081,40.85879517
