Step,画像,VAE32,Pooling,VAE64
256,40.34790421,44.66949463,16.69752693,30.81993103
512,44.73120117,43.79187393,16.78178596,35.92749786
768,36.12948227,38.8774147,16.72362518,37.47403336
1024,32.26852036,40.49588394,16.94377708,37.10079193
1280,29.60163116,42.21616745,17.21677971,38.30542374
1536,28.57938576,38.1651268,17.12481308,39.25728989
1792,28.58413124,36.28562546,17.75065041,40.34191132
2048,27.29793549,35.86842728,19.04566383,42.32240677
2304,27.82200432,36.68822479,20.06704521,42.70261002
2560,28.62872314,38.53138351,21.10990334,41.91824722
2816,28.43883324,39.16142654,21.41842461,40.19164658
3072,28.46532822,40.64386368,22.38355064,41.60401535
3328,28.48676682,39.74072647,22.50684547,42.58283234
3584,29.22977448,39.6840477,23.5379982,43.01937485
3840,29.63618088,40.68199539,24.25690269,42.63824463
4096,30.29074478,40.12413406,26.27452469,43.0947876
4352,31.06888008,40.10225677,26.74355316,43.38518906
4608,31.46977425,41.00706863,27.89271736,43.42470169
4864,32.20969391,40.98062515,28.49929047,44.18399811
5120,32.27676773,42.43833923,29.5294075,43.74804306
5376,32.62332153,42.25535965,30.13887978,44.60580063
5632,33.2300415,43.7433548,31.24727058,44.79151917
5888,34.11641312,43.82885361,32.73593903,45.35732269
6144,34.67445755,44.03868484,34.20050812,45.11955261
6400,35.09439468,44.58161163,35.4560318,45.64251709
6656,36.00498581,45.02671814,36.74516678,45.78487778
6912,36.47990036,45.41970825,38.03822327,45.82729721
7168,36.59095001,46.57093048,39.74818802,46.36083603
7424,36.07127762,47.73165131,41.08465958,46.95763016
7680,36.21541595,48.85824203,41.43371964,47.6944046
7936,37.04971695,49.0609169,42.05619812,48.44312668
8192,37.12535095,49.35624313,43.39884567,49.0548172
8448,36.84989929,49.93390656,44.17272949,50.18173218
8704,37.87666321,51.44872284,45.77941895,50.73068237
8960,38.4099617,53.50582886,46.51582718,51.27560806
9216,39.29827881,55.21212769,47.23303604,51.29611206
9472,39.79012299,55.75844193,47.71440125,52.05274963
9728,39.53476334,57.13267899,47.40155029,53.50329208
9984,39.74435043,57.67810059,48.1111412,53.30056
10240,40.09664536,59.38140106,46.98310089,53.50250244
10496,40.80859756,60.90399551,46.40666199,54.15590286
10752,40.58618546,61.91767883,46.77582932,54.59811401
11008,41.01626968,64.16434479,47.60099792,55.19526291
11264,40.9804306,65.46899414,47.60702896,56.51028824
11520,40.9804306,67.26235199,48.01172256,56.8577919
11776,41.7927742,68.19998932,46.88824081,56.75724792
12032,41.77851868,70.71424103,47.34846497,58.42127228
12288,42.2146225,71.26131439,46.77031708,57.78519821
12544,42.72476196,74.03883362,46.63942719,57.64988708
12800,42.26698685,74.60040283,44.28353882,57.74775314
13056,42.97337723,76.88976288,43.17825317,57.99096298
13312,43.3957634,77.43004608,40.51282501,58.01333237
13568,43.77277374,79.67336273,38.89258575,57.91378784
13824,44.11172867,80.46218109,38.58179092,57.85012436
14080,45.25172806,81.69652557,37.86753464,58.6622467
14336,45.19947815,83.71343994,36.45489502,59.7354126
14592,45.79975891,84.7179718,36.55503464,59.54568481
14848,46.59929657,84.66308594,34.62706757,58.90216064
15104,46.46371841,86.06270599,34.44422913,60.19551468
15360,47.36943817,87.60305023,33.84322739,59.13933563
15616,48.19855881,88.60157776,33.13319016,59.35544205
15872,48.59259796,89.95960999,32.03443146,58.93085861
16128,49.39719391,90.10556793,31.02250481,58.77277374
16384,49.4319191,91.29385376,31.00019646,59.02187729
16640,50.37427902,92.24347687,31.28929901,59.31257629
16896,51.58604431,92.944664,30.83011818,59.75102234
17152,51.6932106,94.07965851,31.52702904,60.2015419
17408,53.24277496,95.04676056,31.59132576,60.34502411
17664,53.49103546,96.16378784,32.02381134,60.44873047
17920,54.87656784,95.9591217,32.88156891,60.56141663
18176,54.7024498,97.45192719,33.30049896,60.04690933
18432,56.2267189,98.3344574,33.90121078,61.31406784
18688,57.23106003,99.16921234,33.27957153,61.60814667
18944,58.63941956,99.97415924,33.76596069,61.08699036
19200,59.54683304,99.48749542,33.31768417,63.0294342
19456,59.7359314,99.23583984,34.40584946,64.39561462
19712,59.79528809,101.0487747,34.23877716,65.86377716
19968,59.85913467,100.3843002,34.48038101,67.17835999
20224,60.16681671,101.5209656,34.23831177,67.64234924
20480,61.24098969,100.7887878,34.58932114,67.66840363
20736,62.41324997,100.4739532,35.33790207,68.00668335
20992,63.81843567,100.1558838,34.82276535,70.34721375
21248,65.05748749,100.4533234,34.94590378,70.34460449
21504,65.040802,100.1060028,34.62413788,71.39333344
21760,67.00526428,101.525383,34.97190857,72.00041962
22016,67.7379837,100.0169601,34.01335526,71.11808777
22272,67.87185669,99.34315491,32.73834229,72.46474457
22528,67.84286499,98.92681122,32.75035095,73.91420746
22784,69.85339355,100.1169662,33.73131561,73.43112183
23040,69.41621399,99.74486542,33.00984573,74.82865906
23296,71.83187866,100.471283,33.76710129,74.91474915
23552,72.78871918,99.76196289,33.12540054,75.98468781
23808,73.56143188,98.83786011,33.12703323,76.2210083
24064,73.40114594,98.50950623,32.3373909,77.56506348
24320,76.09195709,96.45726013,31.48361778,78.31881714
24576,76.34319305,96.83625793,30.90367889,79.12242126
24832,78.73298645,96.61325073,30.26791763,80.38969421
25088,78.95449829,96.80583954,29.76320648,81.33402252
25344,80.68585205,97.17258453,29.82189941,83.21562195
25600,81.37438965,96.21826172,30.00198555,83.62317657
25856,81.7431488,97.62690735,30.29474831,84.90879822
26112,82.7817688,97.01249695,30.03873634,85.18703461
26368,82.30130005,95.64084625,30.26076698,84.38011169
26624,83.76208496,93.3004837,29.40688896,85.34196472
26880,84.18480682,92.93175507,29.61470413,85.11948395
27136,84.67821503,94.53356934,29.22516632,85.43148804
27392,85.55218506,94.12639618,29.61311531,86.15912628
27648,85.20980835,93.98564911,29.73658371,85.19078064
27904,83.80758667,94.1547699,30.82335472,84.46376801
28160,84.00015259,92.52681732,31.44682312,85.06320953
28416,85.40215302,91.90764618,32.30615997,83.34677124
28672,83.89755249,90.39964294,32.70185471,83.70700836
28928,83.60984802,89.90608215,32.47079849,84.75708771
29184,84.95845795,90.84640503,31.73889351,84.95987701
29440,85.38640594,90.94707489,32.43710709,83.9678421
29696,84.4740448,90.04373169,32.25867081,84.96413422
29952,83.88417816,89.07228088,33.01804733,85.18862915
30208,83.79324341,88.11473846,33.86894226,84.82508087
30464,83.37463379,88.8311615,33.85565186,84.64594269
30720,84.20536804,88.33598328,33.88676453,86.81896973
30976,84.59659576,88.43289948,34.93240738,87.71463776
31232,84.10002136,87.10408783,35.31850052,87.25630188
31488,86.42346954,88.472229,35.42420959,91.02639008
31744,87.04077911,86.37104797,35.73937607,91.22756958
32000,86.63824463,85.294487,36.2216835,91.28076172
32256,86.87950134,85.15441132,36.51211929,92.03740692
32512,87.42732239,87.37886047,35.85348129,93.78199005
32768,89.10955811,87.06905365,36.47635651,93.68769073
33024,88.72960663,86.27955627,36.87851334,95.25457764
33280,89.24747467,85.98269653,37.85602951,93.83472443
33536,89.61890411,84.82417297,37.73448944,96.30148315
33792,87.0870285,86.50034332,37.80816269,100.1545486
34048,85.42514038,85.34011078,37.21795273,101.6032028
34304,84.5749588,86.15592957,37.53976059,101.833931
34560,84.10968018,86.58388519,37.82850266,102.4719543
34816,85.62111664,88.26147461,38.19493866,102.9665604
35072,84.91982269,88.72837067,37.07297897,102.9599686
35328,87.20071411,89.50812531,36.81359482,101.7106934
35584,86.03668976,88.98636627,36.61125183,102.1458359
35840,86.56129456,89.10929108,36.46797943,103.0395584
36096,89.26173401,90.62818909,36.49800873,103.941864
36352,89.25588226,90.6186142,36.04211426,105.3865967
36608,91.63799286,90.48576355,36.14493179,105.5217972
36864,93.15034485,92.52043915,35.89607239,104.9777832
37120,95.06668854,93.93621826,34.13797379,105.7036209
37376,95.43026733,94.58851624,33.97409058,105.7307053
37632,95.32097626,95.83518982,33.97714615,108.0926819
37888,95.49617004,96.39743042,34.72915649,107.2082672
38144,95.3212738,98.25243378,35.58522034,108.0185089
38400,97.02462006,97.8758316,35.75687027,109.0298996
38656,97.09265137,97.76381683,35.26833344,111.6885452
38912,97.56970215,98.98258972,34.49295807,112.8149033
39168,98.02942657,99.96440887,34.32793808,112.9208298
39424,99.27772522,100.9384003,35.14889145,113.0191574
39680,99.54543304,102.0852814,35.00321198,112.7108688
39936,100.5097961,103.3890991,35.82160568,115.2414398
40192,101.0634613,104.0312958,35.55715942,115.6222458
40448,102.3452759,105.9989166,35.73580551,116.0441971
40704,103.688652,106.4367828,35.81248093,115.9210281
40960,104.2651978,107.91716,35.61607742,115.8325806
41216,103.3708267,108.1000519,34.15596771,117.6650162
41472,101.9494705,107.5941925,33.64176559,116.3595352
41728,100.5742188,108.1896515,33.65036392,115.7008743
41984,99.8568573,108.9799042,33.78771591,114.7227173
42240,97.01824951,107.5771255,34.88091278,112.0645752
42496,96.66587067,108.5892181,35.1829567,112.3652802
42752,94.74710083,110.7295303,35.19123459,112.7281876
43008,96.20942688,110.9755173,36.5244751,111.2367783
43264,99.842453,112.5344696,36.1559639,112.9153366
43520,101.2059326,113.5812988,36.44599915,111.934166
43776,104.474617,113.8021622,36.8047905,112.6376038
44032,105.2098923,114.4093781,36.06603241,109.5445175
44288,107.7318192,113.9873276,36.45920944,108.2621536
44544,109.5941238,114.5484848,36.3219223,108.9567184
44800,109.210968,116.0675812,36.29057312,107.683548
45056,108.1030655,116.0675812,37.72806549,106.9321518
45312,108.0618896,118.7776947,38.67458344,106.6929169
45568,108.1938171,119.2785645,38.87892151,106.8039627
45824,109.1799011,120.4631729,38.61301041,107.1504135
46080,104.2367935,121.3743362,39.15236282,106.0604706
46336,104.4095764,122.7734985,37.63823318,107.2341156
46592,102.0044861,121.9543228,37.3715477,107.4285736
46848,99.4446106,123.9910431,36.49175262,109.4057236
47104,97.67331696,124.4591141,36.92793655,110.7613678
47360,95.38968658,124.5155945,38.13555145,110.6398544
47616,94.42877197,125.6413651,38.9598465,111.9298782
47872,93.73793793,125.917038,39.67383575,111.6924057
48128,93.2824707,126.9134445,40.67883301,111.8504181
48384,91.06925201,128.1457825,40.77903748,111.4522858
48640,92.76441193,126.9677353,40.06383896,113.9677124
48896,91.50662994,127.4632721,40.38136292,111.8543701
49152,90.49184418,127.6026611,40.94638824,110.9650955
49408,92.75569916,127.1844025,41.10393143,111.8082581
49664,94.77765656,128.190567,42.269207,111.4143677
49920,94.93115234,128.190567,43.4461174,112.2847595
50176,95.52994537,129.8615417,43.57403946,107.9999466
50432,98.62876892,129.6956787,44.41448593,107.5127945
50688,100.2123489,130.6277161,45.76619339,107.0462494
50944,102.478035,131.1288605,46.85682678,106.1931458
51200,104.3968277,131.2445831,46.12286377,110.22155
51456,106.1131744,129.8246918,44.73558426,111.1722565
51712,108.8609238,129.7917023,43.96913528,110.579895
51968,110.2627029,130.1143036,43.15855789,111.1609879
52224,110.1768188,130.0929718,43.10786438,110.7567139
52480,108.8791046,129.9318695,43.39999771,111.6329422
52736,108.9000702,129.6250763,41.22888947,112.8346024
52992,108.1913605,128.9989014,39.18575287,111.794136
53248,109.0958099,128.5939484,38.71699524,114.7395554
53504,110.5923309,131.692688,37.4776535,112.204071
53760,109.8173447,131.7231445,36.86852264,113.2406082
54016,112.1135635,132.1959686,36.51673508,114.2190247
54272,111.1418076,132.3927155,37.21042252,113.7158203
54528,109.9575195,131.6955872,37.27735138,113.4936142
54784,111.2742615,131.732666,38.32487869,111.389122
55040,113.2577515,131.1226654,38.7404213,111.0113678
55296,110.8512421,132.2918701,39.29672241,111.4169464
55552,111.2312927,130.8237762,39.68341064,112.6408157
55808,109.8763733,131.9821625,40.40391159,111.5435791
56064,111.5165787,132.6179962,41.11433792,110.6941681
56320,110.9496689,132.124649,42.43055344,109.9921799
56576,109.1522217,132.1171722,43.70757294,108.1363907
56832,103.8643799,131.0520477,44.18663025,105.2938309
57088,99.918396,130.760376,44.26102448,104.5437469
57344,98.14598846,129.0881958,45.16764832,103.0768509
57600,92.55686951,129.7784729,43.58899307,99.99446869
57856,89.97570801,129.5758514,43.51183319,100.5841064
58112,87.96498871,131.3676453,42.32286072,99.82324219
58368,85.10102081,131.6191406,42.85044861,99.02780151
58624,81.58094788,131.4794922,42.99721527,98.98227692
58880,79.54763794,130.5526886,42.39093018,98.53920746
59136,80.40433502,131.7799683,42.073452,98.03925323
59392,80.16222382,131.8808594,41.6932106,97.58610535
59648,79.67604065,133.412262,40.81642914,91.51074219
59904,77.06676483,133.4712219,39.63970566,90.07460022
60160,74.88091278,133.7527161,39.08541489,90.30569458
60416,72.24462128,132.9103699,38.19992065,89.85899353
60672,71.95034027,131.546936,39.86723328,87.85067749
60928,71.81947327,131.5492859,38.19395065,83.59757996
61184,70.48867798,131.088028,39.47932816,84.76026917
61440,68.01679993,131.045517,41.05146027,81.31266022
61696,70.00059509,130.9004822,42.2413063,79.64015961
61952,69.52877808,128.4314423,42.75780869,80.83661652
62208,70.60469055,127.9541702,43.04507446,79.67787933
62464,69.36843872,126.5311279,41.98947144,82.20507813
62720,71.14083099,126.2338791,41.57968521,83.01091003
62976,70.724823,126.6652222,41.08609772,82.35501099
63232,70.5014801,125.152565,43.34589767,83.38226318
63488,72.5098114,122.6107635,43.85095596,85.85453033
63744,73.66309357,122.7052917,45.00741959,86.48868561
64000,73.94150543,121.725029,45.44037628,83.89479828
64256,73.93701935,122.3669128,45.60329437,83.20651245
64512,75.48995209,121.2760315,46.04833221,84.56562805
64768,75.75627136,121.2227097,45.315979,84.97650909
65024,77.04742432,119.8192368,45.89728546,86.38308716
65280,76.37969208,119.7629166,45.93873978,85.38195038
65536,76.25161743,119.2579575,46.45381165,86.41940308
65792,77.74776459,117.527298,45.77686691,85.96379089
66048,74.20289612,118.6386108,46.19194031,87.19604492
66304,71.97566986,118.550293,46.45629501,86.65283203
66560,70.66611481,118.7591629,47.73660278,86.78067017
66816,69.3221283,118.4184418,48.51451492,86.16561127
67072,69.21918488,118.8986893,49.82006836,88.3536377
67328,67.09777069,119.5475311,50.47533417,88.01506042
67584,67.39218903,115.9956512,49.20555496,88.36321259
67840,66.73441315,116.7926483,49.35813141,89.09316254
68096,67.32270813,116.804512,49.93476486,89.45585632
68352,66.09229279,116.7982941,50.93129349,92.39363098
68608,66.18612671,117.3034592,52.13544846,94.33148956
68864,66.33515167,114.8977737,51.82808304,94.77736664
69120,66.90605164,115.455513,52.26882553,96.33812714
69376,66.85015869,113.0398178,51.77739716,96.99256134
69632,67.77049255,113.1876373,52.07338715,98.8414917
69888,70.18963623,112.9080658,52.52814865,100.9511566
70144,72.60345459,112.54673,52.69939041,101.9122314
70400,74.99634552,109.9411774,52.35018539,104.9259338
70656,73.29766083,110.699234,52.38363647,105.5006561
70912,73.97058105,109.639801,52.25353241,106.925766
71168,74.84563446,111.3035583,51.94440842,107.946106
71424,73.10378265,111.1442108,52.66099548,108.57724
71680,72.92971802,107.4838104,52.7758255,107.5644531
71936,74.38191223,107.0339661,53.48398209,108.4033508
72192,74.32493591,106.9507828,53.75671005,108.5640182
72448,75.11933136,105.7915421,53.36516571,108.7794495
72704,74.7345047,106.5531311,52.83957672,107.8687515
72960,75.9041748,107.1303406,51.56581116,105.5995712
73216,76.62789154,107.3706055,50.76076889,103.7190781
73472,76.49952698,105.0060196,51.08311844,104.1586685
73728,76.24494934,105.3379517,50.41399765,105.3795776
73984,77.75896454,104.5485916,48.97528458,107.7593918
74240,79.45029449,106.035965,48.89992905,108.262619
74496,80.03523254,107.056076,46.73060226,109.2188339
74752,80.45076752,106.8941422,46.9240799,111.9236374
75008,81.33966064,107.2002945,46.15265656,110.2087936
75264,82.93167114,107.1521301,45.20967102,108.0489578
75520,82.77837372,107.7200623,43.70558548,108.9237671
75776,83.35690308,105.5633621,43.23980713,111.0685272
76032,83.85803986,105.0312119,41.84184265,109.7235031
76288,81.97694397,106.3936005,40.95851135,112.0202637
76544,83.37467957,105.9729614,41.64684296,112.5815735
76800,83.60557556,107.4677353,41.27281952,114.7585907
77056,83.62974548,107.3340225,40.55711746,115.3225555
77312,83.02903748,108.9286194,41.09651566,113.7538452
77568,82.90836334,108.1430206,40.48303223,114.8427887
77824,84.2269516,108.6462402,41.24289322,115.4140701
78080,83.46025085,108.0279694,42.00775909,117.4424286
78336,84.27828979,108.4934692,42.30940247,118.4740982
78592,86.34434509,109.406395,41.40552521,120.287323
78848,85.12728882,109.8283615,41.14986038,120.7824631
79104,84.36997986,110.5452347,40.09017563,118.750351
79360,84.13354492,110.8562927,39.53797913,117.6342621
79616,85.13819122,111.7791138,39.91378784,115.1682816
79872,85.45336151,111.8496399,40.89690781,111.5084534
80128,84.68841553,112.3125992,41.59273911,112.2567291
80384,84.4930191,113.0488358,40.88589859,108.9003143
80640,85.47740173,113.845993,41.16334534,109.4349899
80896,87.17498016,115.1924362,40.69456482,107.6532288
81152,88.30261993,115.636734,41.04318237,108.0766144
81408,87.95016479,116.7140045,41.49063873,108.2331696
81664,87.18695068,117.0534821,41.80471802,109.3973694
81920,87.91016388,118.9036179,41.1457901,108.8013611
82176,87.31915283,118.4054489,40.9565239,111.0821152
82432,87.12724304,119.7935944,41.89902496,109.7651215
82688,86.59884644,120.5396957,41.76088715,111.605278
82944,87.47769928,121.9828186,40.39404297,112.4930878
83200,85.98571777,121.9670792,42.11712265,112.4945526
83456,86.23501587,122.0685577,41.90323639,113.0669937
83712,85.81403351,120.1747894,42.09443665,112.8972549
83968,86.73104095,120.9376678,42.9048996,113.223999
84224,87.08998108,121.0962753,43.63254547,112.4645309
84480,85.82235718,122.5849991,44.68995285,112.0619278
84736,86.75028992,124.6279297,44.97498703,112.0047226
84992,88.90190125,124.3855362,45.01166916,114.635643
85248,88.96335602,124.8549957,44.66899872,114.635643
85504,88.61837769,126.1884384,46.2287178,119.292511
85760,89.47480011,127.5434799,45.85274887,119.1867142
86016,88.85048676,126.1250305,45.84112549,118.6567154
86272,88.35523224,125.1788025,46.14857101,118.7994385
86528,89.70046234,125.848732,45.47172928,121.3000641
86784,89.03048706,125.0786209,43.39810562,120.3258514
87040,89.77616882,124.2276154,42.98360825,118.0984879
87296,90.57307434,124.3910294,43.12183762,118.0984879
87552,89.65133667,123.9264984,41.85578537,122.4399338
87808,91.42230988,122.1689301,41.97612762,123.5196457
88064,92.15786743,121.2567825,40.88551712,124.3548584
88320,91.83570099,120.0096359,39.75836945,123.9784012
88576,93.96112823,118.8820419,38.98306274,123.7612228
88832,94.65825653,119.0619049,37.80727386,123.6294708
89088,97.12011719,119.8934631,37.91250229,120.6015015
89344,96.7725296,117.3313217,36.48171997,120.3296051
89600,99.30666351,117.1120453,35.89327621,121.1812363
89856,100.3109055,116.4120483,34.7841568,122.905983
90112,99.7086792,115.9141998,35.70835114,124.2987747
90368,101.3669586,116.0308228,37.68583298,125.5495605
90624,102.1147614,115.2421112,38.74513245,126.6191559
90880,100.8671799,114.8490829,37.57496643,127.1325989
91136,100.111557,115.221962,37.07181931,129.1427307
91392,100.0293655,114.5039291,36.98112488,129.1333008
91648,99.87284851,111.3193588,37.91242218,130.5279236
91904,100.9440002,109.5663147,38.82924271,129.946106
92160,101.7136383,107.815361,39.62859344,129.0313721
92416,103.7249222,107.8188858,38.43550491,131.4028778
92672,103.243927,108.6873093,36.94451523,131.4233398
92928,103.9089203,105.944191,37.12273788,131.6055603
93184,106.7343903,104.0350647,36.99894714,130.276947
93440,107.4425583,104.4038162,37.23097992,127.1352463
93696,107.062851,105.0502319,37.29831696,126.4508743
93952,108.0297318,103.208786,37.41429901,126.4508743
94208,107.6397476,102.4744797,36.65984344,128.6636353
94464,106.7826309,101.9860916,36.24435806,128.843689
94720,105.2278137,100.1022797,35.78950119,128.2315521
94976,103.633522,100.2666626,36.71720886,128.5626068
95232,103.6065445,101.759758,35.52816391,127.1891937
95488,102.6088943,101.5682755,34.55678177,126.938385
95744,100.556366,97.93076324,34.60731506,125.3928452
96000,99.54750824,98.50476837,35.34448242,126.0326309
96256,99.28583527,95.58934784,36.35655212,128.3238525
96512,98.01954651,94.85109711,36.25478363,123.9125443
96768,96.74624634,94.77787781,36.12818146,126.11409
97024,94.8653717,94.12708282,36.88934708,126.1193085
97280,91.6925354,91.80796814,37.3567543,126.1086502
97536,87.58143616,90.94245148,36.21636581,125.4415359
97792,87.32431793,90.68135834,36.77033234,125.5647507
98048,86.45766449,89.90142822,37.96023941,125.8947983
98304,86.02696991,90.66947174,39.43612671,127.1307755
98560,86.93243408,90.46797943,39.50382233,123.436203
98816,86.65018463,89.12827301,39.1517601,123.5805664
99072,85.6667099,89.43479919,39.88337326,124.3605804
99328,85.98577118,88.64376831,40.75152206,123.8779984
99584,86.77571869,87.83479309,40.57095337,124.5718384
99840,88.18481445,88.32836914,40.57909775,126.6397018
100096,88.16981506,86.98339081,40.85879517,126.7308273
